0,4,2,0,8,0,3,1,0,6,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,20,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2
0,4,2,0,8,0,3,1,0,6,1,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
0,4,2,0,8,0,3,1,0,6,1,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,4,2,0,8,0,3,1,0,6,1,0,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,48,0,1,0,1,0,1,1,0,0,0,0,0,0,0,6
12,2,2,0,0,10,1,1,0,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,20,0,0,1,0,1,0,0,0,0,0,0,0,0,1
12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2
12,2,2,0,0,10,1,1,0,12,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
12,2,2,0,0,10,1,1,0,12,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
12,2,2,0,0,10,1,1,0,12,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,48,0,1,0,1,0,1,1,0,0,0,0,0,0,0,6
3,1,0,0,7,3,1,0,0,21,3,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,20,0,0,1,0,1,0,0,0,0,0,0,0,0,1
3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2
3,1,0,0,7,3,1,0,0,21,3,0,4,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
3,1,0,0,7,3,1,0,0,21,3,0,4,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,1,0,0,7,3,1,0,0,21,3,0,4,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,48,0,1,0,1,0,1,1,0,0,0,0,0,0,0,6
6,0,0,0,2,5,0,0,0,9,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,20,0,0,1,0,1,0,0,0,0,0,0,0,0,1
6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2
6,0,0,0,2,5,0,0,0,9,2,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
6,0,0,0,2,5,0,0,0,9,2,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,2,5,0,0,0,9,2,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,48,0,1,0,1,0,1,1,0,0,0,0,0,0,0,6
9,1,0,0,1,5,1,0,0,12,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,20,0,0,1,0,1,0,0,0,0,0,0,0,0,1
9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2
9,1,0,0,1,5,1,0,0,12,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
9,1,0,0,1,5,1,0,0,12,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9,1,0,0,1,5,1,0,0,12,1,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,48,0,1,0,1,0,1,1,0,0,0,0,0,0,0,6
2,0,0,0,8,1,0,0,0,9,1,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,20,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2
2,0,0,0,8,1,0,0,0,9,1,0,2,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2,0,0,0,8,1,0,0,0,9,1,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,0,0,0,8,1,0,0,0,9,1,0,2,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,48,0,1,0,1,0,1,1,0,0,0,0,0,0,0,6
11,0,0,0,10,7,0,0,0,18,4,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,20,0,0,1,0,1,0,0,0,0,0,0,0,0,1
11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2
11,0,0,0,10,7,0,0,0,18,4,0,2,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
11,0,0,0,10,7,0,0,0,18,4,0,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
11,0,0,0,10,7,0,0,0,18,4,0,2,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,48,0,1,0,1,0,1,1,0,0,0,0,0,0,0,6
0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,30,0,0,1,0,1,0,0,0,0,0,0,0,0,1
